grid_id,name,coordinates
340,C3:6,"((40.75983970588236, -73.8663366)(40.75983970588236, -73.86321319999999)(40.75669494117647, -73.86321319999999)(40.75669494117647, -73.8663366)(40.75983970588236, -73.8663366))"
340,C3:7,"((40.75983970588236, -73.86321319999999)(40.75983970588236, -73.8600898)(40.75669494117647, -73.8600898)(40.75669494117647, -73.86321319999999)(40.75983970588236, -73.86321319999999))"
340,C3:8,"((40.75983970588236, -73.8600898)(40.75983970588236, -73.8569664)(40.75669494117647, -73.8569664)(40.75669494117647, -73.8600898)(40.75983970588236, -73.8600898))"
340,C3:9,"((40.75983970588236, -73.8569664)(40.75983970588236, -73.853843)(40.75669494117647, -73.853843)(40.75669494117647, -73.8569664)(40.75983970588236, -73.8569664))"
340,C3:10,"((40.75983970588236, -73.853843)(40.75983970588236, -73.85071959999999)(40.75669494117647, -73.85071959999999)(40.75669494117647, -73.853843)(40.75983970588236, -73.853843))"
340,C3:11,"((40.75983970588236, -73.85071959999999)(40.75983970588236, -73.8475962)(40.75669494117647, -73.8475962)(40.75669494117647, -73.85071959999999)(40.75983970588236, -73.85071959999999))"
340,C3:12,"((40.75983970588236, -73.8475962)(40.75983970588236, -73.8444728)(40.75669494117647, -73.8444728)(40.75669494117647, -73.8475962)(40.75983970588236, -73.8475962))"
340,C3:13,"((40.75983970588236, -73.8444728)(40.75983970588236, -73.8413494)(40.75669494117647, -73.8413494)(40.75669494117647, -73.8444728)(40.75983970588236, -73.8444728))"
340,C3:14,"((40.75983970588236, -73.8413494)(40.75983970588236, -73.83822599999999)(40.75669494117647, -73.83822599999999)(40.75669494117647, -73.8413494)(40.75983970588236, -73.8413494))"
340,C3:15,"((40.75983970588236, -73.83822599999999)(40.75983970588236, -73.8351026)(40.75669494117647, -73.8351026)(40.75669494117647, -73.83822599999999)(40.75983970588236, -73.83822599999999))"
340,C3:16,"((40.75983970588236, -73.8351026)(40.75983970588236, -73.8319792)(40.75669494117647, -73.8319792)(40.75669494117647, -73.8351026)(40.75983970588236, -73.8351026))"
340,C3:17,"((40.75983970588236, -73.8319792)(40.75983970588236, -73.8288558)(40.75669494117647, -73.8288558)(40.75669494117647, -73.8319792)(40.75983970588236, -73.8319792))"
340,C3:18,"((40.75983970588236, -73.8288558)(40.75983970588236, -73.82573239999999)(40.75669494117647, -73.82573239999999)(40.75669494117647, -73.8288558)(40.75983970588236, -73.8288558))"
340,C3:19,"((40.75983970588236, -73.82573239999999)(40.75983970588236, -73.822609)(40.75669494117647, -73.822609)(40.75669494117647, -73.82573239999999)(40.75983970588236, -73.82573239999999))"
340,C4:0,"((40.75669494117647, -73.885077)(40.75669494117647, -73.8819536)(40.75355017647059, -73.8819536)(40.75355017647059, -73.885077)(40.75669494117647, -73.885077))"
340,C4:1,"((40.75669494117647, -73.8819536)(40.75669494117647, -73.8788302)(40.75355017647059, -73.8788302)(40.75355017647059, -73.8819536)(40.75669494117647, -73.8819536))"
340,C4:2,"((40.75669494117647, -73.8788302)(40.75669494117647, -73.87570679999999)(40.75355017647059, -73.87570679999999)(40.75355017647059, -73.8788302)(40.75669494117647, -73.8788302))"
