cell_id,grid_id,cell_names,coordinates
346,181398528,C3:9,0103000020E610000001000000050000000C6A09432EDE4540ED4A470D2FDF53C00C6A09432EDE4540814DDB29FEDE53C06AF2391C02DE4540814DDB29FEDE53C06AF2391C02DE4540ED4A470D2FDF53C00C6A09432EDE4540ED4A470D2FDF53C0
347,181398528,C3:10,0103000020E610000001000000050000000C6A09432EDE4540814DDB29FEDE53C00C6A09432EDE454015506F46CDDE53C06AF2391C02DE454015506F46CDDE53C06AF2391C02DE4540814DDB29FEDE53C00C6A09432EDE4540814DDB29FEDE53C0
348,181398528,C4:0,0103000020E610000001000000050000006AF2391C02DE4540B933130CE7E053C06AF2391C02DE45404D36A728B6E053C0C87A6AF5D5DD45404D36A728B6E053C0C87A6AF5D5DD4540B933130CE7E053C06AF2391C02DE4540B933130CE7E053C0
349,181398528,C4:1,0103000020E610000001000000050000006AF2391C02DE45404D36A728B6E053C06AF2391C02DE4540E1383B4585E053C0C87A6AF5D5DD4540E1383B4585E053C0C87A6AF5D5DD45404D36A728B6E053C06AF2391C02DE45404D36A728B6E053C0
350,181398528,C4:2,0103000020E610000001000000050000006AF2391C02DE4540E1383B4585E053C06AF2391C02DE4540753BCF6154E053C0C87A6AF5D5DD4540753BCF6154E053C0C87A6AF5D5DD4540E1383B4585E053C06AF2391C02DE4540E1383B4585E053C0
351,181398528,C4:3,0103000020E610000001000000050000006AF2391C02DE4540753BCF6154E053C06AF2391C02DE4540093E637E23E053C0C87A6AF5D5DD4540093E637E23E053C0C87A6AF5D5DD4540753BCF6154E053C06AF2391C02DE4540753BCF6154E053C0
352,181398528,C4:4,0103000020E610000001000000050000006AF2391C02DE4540093E637E23E053C06AF2391C02DE45409D40F79AF2DF53C0C87A6AF5D5DD45409D40F79AF2DF53C0C87A6AF5D5DD4540093E637E23E053C06AF2391C02DE4540093E637E23E053C0
353,181398528,C4:5,0103000020E610000001000000050000006AF2391C02DE45409D40F79AF2DF53C06AF2391C02DE454031438BB7C1DF53C0C87A6AF5D5DD454031438BB7C1DF53C0C87A6AF5D5DD45409D40F79AF2DF53C06AF2391C02DE45409D40F79AF2DF53C0
354,181398528,C4:6,0103000020E610000001000000050000006AF2391C02DE454031438BB7C1DF53C06AF2391C02DE4540C5451FD490DF53C0C87A6AF5D5DD4540C5451FD490DF53C0C87A6AF5D5DD454031438BB7C1DF53C06AF2391C02DE454031438BB7C1DF53C0
355,181398528,C4:7,0103000020E610000001000000050000006AF2391C02DE4540C5451FD490DF53C06AF2391C02DE45405948B3F05FDF53C0C87A6AF5D5DD45405948B3F05FDF53C0C87A6AF5D5DD4540C5451FD490DF53C06AF2391C02DE4540C5451FD490DF53C0
356,181398528,C4:8,0103000020E610000001000000050000006AF2391C02DE45405948B3F05FDF53C06AF2391C02DE4540ED4A470D2FDF53C0C87A6AF5D5DD4540ED4A470D2FDF53C0C87A6AF5D5DD45405948B3F05FDF53C06AF2391C02DE45405948B3F05FDF53C0
357,181398528,C4:9,0103000020E610000001000000050000006AF2391C02DE4540ED4A470D2FDF53C06AF2391C02DE4540814DDB29FEDE53C0C87A6AF5D5DD4540814DDB29FEDE53C0C87A6AF5D5DD4540ED4A470D2FDF53C06AF2391C02DE4540ED4A470D2FDF53C0
358,181398528,C4:10,0103000020E610000001000000050000006AF2391C02DE4540814DDB29FEDE53C06AF2391C02DE454015506F46CDDE53C0C87A6AF5D5DD454015506F46CDDE53C0C87A6AF5D5DD4540814DDB29FEDE53C06AF2391C02DE4540814DDB29FEDE53C0
359,181398528,C5:0,0103000020E61000000100000005000000C87A6AF5D5DD4540B933130CE7E053C0C87A6AF5D5DD45404D36A728B6E053C026039BCEA9DD45404D36A728B6E053C026039BCEA9DD4540B933130CE7E053C0C87A6AF5D5DD4540B933130CE7E053C0
360,181398528,C5:1,0103000020E61000000100000005000000C87A6AF5D5DD45404D36A728B6E053C0C87A6AF5D5DD4540E1383B4585E053C026039BCEA9DD4540E1383B4585E053C026039BCEA9DD45404D36A728B6E053C0C87A6AF5D5DD45404D36A728B6E053C0
361,181398528,C5:2,0103000020E61000000100000005000000C87A6AF5D5DD4540E1383B4585E053C0C87A6AF5D5DD4540753BCF6154E053C026039BCEA9DD4540753BCF6154E053C026039BCEA9DD4540E1383B4585E053C0C87A6AF5D5DD4540E1383B4585E053C0
362,181398528,C5:3,0103000020E61000000100000005000000C87A6AF5D5DD4540753BCF6154E053C0C87A6AF5D5DD4540093E637E23E053C026039BCEA9DD4540093E637E23E053C026039BCEA9DD4540753BCF6154E053C0C87A6AF5D5DD4540753BCF6154E053C0
363,181398528,C5:4,0103000020E61000000100000005000000C87A6AF5D5DD4540093E637E23E053C0C87A6AF5D5DD45409D40F79AF2DF53C026039BCEA9DD45409D40F79AF2DF53C026039BCEA9DD4540093E637E23E053C0C87A6AF5D5DD4540093E637E23E053C0
364,181398528,C5:5,0103000020E61000000100000005000000C87A6AF5D5DD45409D40F79AF2DF53C0C87A6AF5D5DD454031438BB7C1DF53C026039BCEA9DD454031438BB7C1DF53C026039BCEA9DD45409D40F79AF2DF53C0C87A6AF5D5DD45409D40F79AF2DF53C0
365,181398528,C5:6,0103000020E61000000100000005000000C87A6AF5D5DD454031438BB7C1DF53C0C87A6AF5D5DD4540C5451FD490DF53C026039BCEA9DD4540C5451FD490DF53C026039BCEA9DD454031438BB7C1DF53C0C87A6AF5D5DD454031438BB7C1DF53C0
