traj_id,cell_id,cell_names
497,3828,C23:12
463,3159,C1:3
162,3787,C22:1
89,3497,C12:11
430,3488,C12:2
69,3496,C12:10
12,3496,C12:10
125,3487,C12:1
193,3554,C14:8
160,3701,C19:5
240,4024,C29:28
259,3637,C17:1
413,3948,C27:12
374,3828,C23:12
325,3151,C0:25
398,3539,C13:23
380,3793,C22:7
452,3499,C12:13
91,3987,C28:21
455,3403,C9:7
295,3430,C10:4
205,3990,C28:24
146,3826,C23:10
279,3381,C8:15
78,3922,C26:16
115,3405,C9:9
6,3301,C5:25
179,3637,C17:1
358,3715,C19:19
331,3614,C16:8
483,4007,C29:11
97,3484,C11:28
373,3667,C18:1
36,3723,C19:27
2,3331,C6:25
191,3819,C23:3
220,3792,C22:6
452,3469,C11:13
498,3207,C2:21
354,3534,C13:18
140,3659,C17:23
265,3460,C11:4
437,3947,C27:11
148,3406,C9:10
108,3238,C3:22
87,3419,C9:23
430,3458,C11:2
48,3451,C10:25
279,3351,C7:15
212,3430,C10:4
221,3730,C20:4
342,3553,C14:7
3,3923,C26:17
493,3656,C17:20
272,3819,C23:3
343,3715,C19:19
259,3667,C18:1
88,3201,C2:15
84,3791,C22:5
157,3387,C8:21
178,3474,C11:18
427,3795,C22:9
342,3523,C13:7
120,3553,C14:7
179,3667,C18:1
300,3812,C22:26
391,3299,C5:23
493,3686,C18:20
187,3695,C18:29
73,3238,C3:22
54,3781,C21:25
299,3329,C6:23
433,3650,C17:14
17,3763,C21:7
4,3658,C17:22
268,3454,C10:28
434,3586,C15:10
457,3705,C19:9
385,3403,C9:7
80,3701,C19:5
298,3701,C19:5
120,3523,C13:7
169,3488,C12:2
319,3333,C6:27
238,3239,C3:23
87,3449,C10:23
222,3786,C22:0
207,3521,C13:5
255,3504,C12:18
346,3882,C25:6
360,3856,C24:10
335,3431,C10:5
166,3803,C22:17
334,3707,C19:11
236,3707,C19:11
40,3625,C16:19
393,3785,C21:29
93,3176,C1:20
405,3659,C17:23
427,3825,C23:9
368,3662,C17:26
213,3553,C14:7
25,3947,C27:11
362,3918,C26:12
441,3430,C10:4
164,3230,C3:14
158,3690,C18:24
241,3484,C11:28
322,3658,C17:22
17,3793,C22:7
84,3821,C23:5
105,3759,C21:3
51,3735,C20:9
382,3271,C4:25
410,3766,C21:10
344,3865,C24:19
273,3770,C21:14
