p_id,point
ChIJtZR69I1cK4gRO3bK31vYhmo,POINT(43.7296106 -79.4943701)
ChIJT_gPO50xK4gRVnamD21-fVM,POINT(43.7265082 -79.4825401)
ChIJu1DPlZoxK4gRKEFXMdZFfTM,POINT(43.7335023 -79.4831773)
ChIJu3PhLAgxK4gRkFQw2-A1HAc,POINT(43.7262307 -79.5014234)
ChIJU63VaZsxK4gRq2gqzRnxxbY,POINT(43.7312289 -79.4834113)
ChIJU7lEC5ExK4gRwt_AXrl73OA,POINT(43.738102 -79.4848344)
ChIJU9fjqk8xK4gRhf3gqnTxzVQ,POINT(43.7334443 -79.4833734)
ChIJU9L9F50xK4gRhCYWOdnnYcg,POINT(43.726712 -79.483054)
ChIJue7el6cxK4gR2Z5DQVaMaxM,POINT(43.7278945 -79.5021315)
ChIJuTkpqqAxK4gRatQNQA6BZaM,POINT(43.7264966 -79.4981877)
ChIJUWnHWpwxK4gRMTSlV3xcGhw,POINT(43.7281836 -79.4850937)
ChIJUwRMPZ0xK4gRxrHgIOcVgVE,POINT(43.7267086 -79.4829799)
ChIJUYqlDJkxK4gRrBMkb_ZARFg,POINT(43.7322852 -79.4887188)
ChIJUzN8s60xK4gROPACLHk4nJU,POINT(43.734826 -79.511523)
ChIJv1mF2pwxK4gRNdu-6qZOwvA,POINT(43.7281253 -79.4826777)
ChIJV1SnKqExK4gR5rC0kAKkcds,POINT(43.7287367 -79.4984347)
ChIJv1uFzpAxK4gRY3zzgfpQAbc,POINT(43.7363695 -79.4868847)
ChIJVdlb_LIxK4gRd-MddRcSiGc,POINT(43.7393835 -79.51307)
ChIJVS3B_LIxK4gRYB8ltNrvQxY,POINT(43.739383 -79.513203)
ChIJVVXFs50xK4gRc1w5aLfM574,POINT(43.7272805 -79.4853726)
ChIJVVXFs50xK4gRqi4964lcL5Q,POINT(43.7272805 -79.4853726)
ChIJvwd1AbsxK4gRkMmoNI95jec,POINT(43.738345 -79.5011992)
ChIJvWmJKaIxK4gR6ApQQcQTW9I,POINT(43.7309275 -79.49533)
ChIJW1hmMqQxK4gREoLDzNPiR0s,POINT(43.7319895 -79.5011085)
ChIJW5ROB6oxK4gR0fVfZrHcZCU,POINT(43.727513 -79.510133)
ChIJwcTwr5AxK4gR5oz_sdbQkUw,POINT(43.7354566 -79.486157)
ChIJwcTwr5AxK4gRUTzniyTNc9c,POINT(43.7354635 -79.4865215)
